∆t = 0.1
x, t = 0, t = 0.1, t = 0.2, t = 0.3, t = 0.4, t = 0.5
0, 300, 300, 300, 300, 300, 300
0.05, 100, 900, 221.933, 221.933, 263.069, 269.302
0.1, 100, 100, 174.349, 174.349, 229.018, 240.161
0.15, 100, 100, 145.352, 145.352, 199.596, 213.807
0.2, 100, 100, 127.693, 127.693, 175.452, 191.005
0.25, 100, 100, 116.957, 116.957, 156.479, 172.091
0.3, 100, 100, 110.46, 110.46, 142.175, 157.081
0.35, 100, 100, 106.578, 106.578, 131.899, 145.797
0.4, 100, 100, 104.341, 104.341, 125.046, 137.987
0.45, 100, 100, 103.19, 103.19, 121.135, 133.412
0.5, 100, 100, 102.835, 102.835, 119.866, 131.907
0.55, 100, 100, 103.19, 103.19, 121.135, 133.412
0.6, 100, 100, 104.341, 104.341, 125.046, 137.987
0.65, 100, 100, 106.578, 106.578, 131.899, 145.797
0.7, 100, 100, 110.46, 110.46, 142.175, 157.081
0.75, 100, 100, 116.957, 116.957, 156.479, 172.091
0.8, 100, 100, 127.693, 127.693, 175.452, 191.005
0.85, 100, 100, 145.352, 145.352, 199.596, 213.807
0.9, 100, 100, 174.349, 174.349, 229.018, 240.161
0.95, 100, 900, 221.933, 221.933, 263.069, 269.302
1, 300, 300, 300, 300, 300, 300
